Package,Brand,License
,,
"Operating System","Windows 7 Windows 10 Professional Servicepack1","Microsoft Campus Volume agreement (71 systems)"
"Operating System","Linux Mint18.1","Open Source (40 systems)"
Application,"YEd Graphics Editor ","Freeware "
Application,"Python 3.4.3	",Freeware
,,
Application,RStudio,Freeware
Application,"Microsoft Visual Studio	","Microsoft Campus Agreement"
Application,"Netbeans IDE 8.0.2	",Freeware
Application,"Microsoft Office 2007	","Microsoft Campus Agreement"
Application,Eclipse,Freeware
Compiler/Interpreter,"Dev- c++(4.9.9.2)",Freeware
Compiler/Interpreter,"java (jdk1.6.)",Freeware
"Tools and design","Winrar 4.20",Freeware
"Tools and design","Ccleaner 4.08.4428",Freeware
Antivirus,"K7 Antivirus","Campus Agreement"
