"System Configuration",Brand,"No. of Systems"
,,
"Dell Optiplex 390
Intel Core i3
CPU@3.3 GHz
Processor, 500 GB HDD, 4 GB RAM,  19”
LCD Wide Screen Dell Monitor.",Dell,72
"Lenovo systems  Thinkc M71e
Intel i3 CPU 3.10@Ghz Processor and 4 GB RAM and 320 GB HDD 19” LCD monitor",Lenovo,1
,,
,"Total = ",73
