"System Configuration",Brand,"No. of Systems"
,,
"Lenovo systems  ThinkcLIENT M710q
Intel i5 CPU 2.40@Ghz Processor and 8GB RAM  and
1 TB HDD 19” LCD monitor",Lenovo,40
,,
,"Total = ",40
