"System Configuration",Brand,"No. of Systems"
,,
"HP 280 G2 MT
Intel Core i5-6500 CPU@3.20 GHz(Model HP optiplex 390), 4.00 GB RAM, 500GB HDD,Optical Mouse,Keyboard,
17” LCD Monitor.",HP,60
"Dell Optiplex 390 systems
Intel Core i5-2400 CPU @3.10Ghz Processor and 4GB RAM  and
320 GB HDD 17” LCD monitor",Dell,11
,,
,"Total = ",71
