Package,Brand,License
,,
"Operating System","Windows XP","Microsoft Campus Agreement"
Application,"MATLAB 2015 			",
Application,"R Studio",
Application,"Microsoft Visual Studio 2010",
"Complier /Interpreter","Dev c++ 			",
,,
"Internet Browser","Google chrome, Firefox",
