"System Configuration",Brand,"No. of Systems"
,,
"HP Systems
Intel i5 processor,8 GB RAM,500 GB HDD,
Optical Mouse, Keyboard ,
HP LCD Monito",Dell,44
"HP Systems
Intel i5 processor,8 GB RAM,500 GB HDD,
Optical Mouse, Keyboard ,
HP LCD Monito",Dell,17
"HP Systems
Intel i5 processor,8 GB RAM,500 GB HDD,
Optical Mouse, Keyboard ,
HP LCD Monito",HP,1
,,
,"Total = ",62
